actor,description,genre,public,score,title,year
"Gordon Buchanan,David Attenborough,Chadden Hunter",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Documentary,TV-G,9.5,Planet Earth II,2016
"Anna Gunn,Aaron Paul,Bryan Cranston",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Crime,Drama,Thriller",TV-MA,9.5,Breaking Bad,2008–2013
"Nikolay Drozdov,David Attenborough,Sigourney Weaver","A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Documentary,TV-PG,9.4,Planet Earth,2006
"Damian Lewis,Scott Grimes,Ron Livingston","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama,History,War",TV-MA,9.4,Band of Brothers,2001
"Jon Hamm,Vincent Kartheiser,Elisabeth Moss","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Drama,TV-MA,8.7,Mad Men,2007–2015
"Ratna Pathak Shah,Sumeet Raghavan,Satish Shah","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",Comedy,TV-PG,9.0,Sarabhai V/S Sarabhai,2004–2017
"Matt King,Robert Webb,David Mitchell",Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,Comedy,TV-MA,8.7,Peep Show,2003–2015
"Winona Ryder,Finn Wolfhard,Millie Bobby Brown","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Drama,Fantasy,Horror",TV-14,8.7,Stranger Things,2016–2024
"Setsuo Ito,Takahiro Sakurai,Chris Niosi","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Animation,Action,Comedy",TV-14,8.6,Mob Psycho 100,2016–2022
"Emmy Rossum,William H. Macy,Ethan Cutkosky","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Comedy,Drama",TV-MA,8.6,Shameless,2011–2021
"Lucy Lawless,Andy Whitfield,Manu Bennett","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Action,Adventure,Biography",TV-MA,8.5,Spartacus,2010–2013
"Cansu Dere,Yigit Özsener,Kenan Imirzalioglu","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.","Crime,Drama,Thriller",TV-14,8.7,Ezel,2009–2011
"Stevie Nicks,Bono,Tom Petty","""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Documentary,Biography,Crime",TV-MA,8.5,The Defiant Ones,2017
"Mary Berry,Paul Hollywood,Prue Leith",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,"Game-Show,Reality-TV",TV-PG,8.6,The Great British Baking Show,2010– 
"Dylan Moran,Bill Bailey,Tamsin Greig","Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",Comedy,TV-PG,8.5,Black Books,2000–2004
"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Animation,Action,Comedy",TV-14,8.7,Gintama,2005–2021
"Honeysuckle Weeks,Anthony Howell,Michael Kitchen","As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Crime,Drama,Mystery",TV-14,8.6,Foyle's War,2002–2015
"André Holland,Clive Owen,Jeremy Bobb",A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Drama,History",TV-MA,8.5,The Knick,2014–2015
"Nicole Kidman,Shailene Woodley,Reese Witherspoon",The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"Crime,Drama,Mystery",TV-MA,8.5,Big Little Lies,2017–2019
"Regina King,Shawn Hatosy,Michael Cudlitz",The lives of Police Officers working for the Los Angeles Police Department.,"Crime,Drama,Thriller",TV-MA,8.5,Southland,2009–2013
"Levent Üzümcü,Gülse Birsel,Senay Gürler",The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Comedy,,8.6,Avrupa Yakasi,2004–2009
"Risa Taneda,Natsuki Hanae,Ayane Sakura",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Animation,Comedy,Drama",TV-PG,8.6,Your Lie in April,2014–2018
"Alfred Hitchcock,Harry Tyler,John Williams","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Comedy,Crime,Drama",TV-14,8.5,Alfred Hitchcock Presents,1955–1962
"Bill Camp,Riz Ahmed,John Turturro","After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Crime,Drama,Mystery",TV-MA,8.5,The Night Of,2016
"Kyle Rogers,James Rolfe,Mike Matei",A foul-mouthed nerd reviews bad video games.,Comedy,TV-MA,8.5,The Angry Video Game Nerd,2004– 
"Saoirse-Monica Jackson,Tara Lynne O'Neill,Louisa Harland",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,Comedy,TV-MA,8.5,Derry Girls,2018–2022
"Alexander Skarsgård,Lee Tergesen,James Ransone","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Drama,War",TV-MA,8.5,Generation Kill,2008
"Robbie Magasiva,Kate Atkinson,Katrina Milosevic",The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Crime,Drama,Thriller",TV-MA,8.6,Wentworth,2013–2021
"Gaia Girace,Margherita Mazzucco,Alba Rohrwacher",A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,Drama,TV-MA,8.6,My Brilliant Friend,2018– 
"Francis Mallmann,Massimo Bottura,Bill Buford","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",Documentary,TV-MA,8.5,Chef's Table,2015–2019
"Ralph Macchio,William Zabka,Courtney Henggeler","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Action,Comedy,Drama",TV-14,8.5,Cobra Kai,2018–2023
"Yûichi Nakamura,Adam McArthur,Junya Enoki",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Animation,Action,Adventure",TV-MA,8.5,Jujutsu Kaisen,2020– 
"Donald Glover,Danny Pudi,Joel McHale",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Comedy,TV-14,8.5,Community,2009–2015
"Sam Marin,J.G. Quintel,William Salyers",The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"Animation,Action,Adventure",TV-PG,8.5,Regular Show,2009–2017
"Wes Chatham,Dominique Tipper,Steven Strait","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Drama,Mystery,Sci-Fi",TV-14,8.5,The Expanse,2015–2022
"Maria Obretin,Andreea Vasile,Serban Pavlu","Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","Crime,Drama,Thriller",TV-MA,8.7,Umbre,2014–2019
"Caroline Dhavernas,Mads Mikkelsen,Hugh Dancy",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Crime,Drama,Horror",TV-MA,8.5,Hannibal,2013–2015
"Eugene Levy,Dan Levy,Catherine O'Hara","After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",Comedy,TV-14,8.5,Schitt's Creek,2015–2020
"Sarah Lancashire,Siobhan Finneran,James Norton",Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,"Crime,Drama,Thriller",TV-MA,8.5,Happy Valley,2014–2023
"Regina Cassandra,Saba Azad,Jim Sarbh","The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.","Drama,History",,8.9,Rocket Boys,2022– 
"Nozomu Sasaki,Mayo Suzukaze,Junko Iwao","In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Animation,Action,Adventure",TV-MA,8.6,Rurouni Kenshin: Trust and Betrayal,1999
"Lane Smith,Tom Hanks,Nick Searcy",Dramatized portrayal of the Apollo manned space program.,"Action,Drama,History",TV-14,8.6,From the Earth to the Moon,1998
"John DiMaggio,Billy West,Katey Sagal","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Animation,Adventure,Comedy",TV-14,8.5,Futurama,1999–2023
"Peter Mensah,John Hannah,Manu Bennett","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","Action,Adventure,Biography",TV-MA,8.5,Spartacus: Gods of the Arena,2011
"Josh Brener,Thomas Middleditch,T.J. Miller","Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Comedy,TV-MA,8.5,Silicon Valley,2014–2019
"Vic Mignogna,Romi Park,Aaron Dismuke","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.","Animation,Action,Adventure",TV-PG,8.5,Fullmetal Alchemist,2003–2004
"Scott Ryan,Justin Rosniak,Chika Yasumura","Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.","Crime,Drama",TV-MA,8.6,Mr Inbetween,2018–2021
"Peter Capaldi,Pearl Mackie,Jodie Whittaker",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Adventure,Drama,Sci-Fi",TV-PG,8.6,Doctor Who,2005– 
"Kyle MacLachlan,Michael Horse,Sheryl Lee",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,"Crime,Drama,Horror",TV-MA,8.5,Twin Peaks,2017
"Iman Meskini,Ulrikke Falch,Josefine Frida Pettersen","The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.","Drama,Romance",Not Rated,8.6,Skam,2015–2017
"Ed Harris,Evan Rachel Wood,Jeffrey Wright","At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.","Drama,Mystery,Sci-Fi",TV-MA,8.5,Westworld,2016–2022
"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith","North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Drama,Romance",TV-PG,8.6,North & South,2004
"Robb Wells,John Paul Tremblay,Mike Smith",Three petty felons have a documentary made about their life in a trailer park.,"Comedy,Crime",TV-MA,8.6,Trailer Park Boys,2001–2018
"Christopher Morris,Kevin Eldon,Mark Heap","Controversal spoof of current affairs television, and the role of celebrity in the UK.",Comedy,TV-MA,8.6,Brass Eye,1997–2001
"Kotono Mitsuishi,Megumi Hayashibara,Megumi Ogata",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,"Animation,Action,Drama",TV-MA,8.5,Neon Genesis Evangelion,1995–1996
"Kang Tae-oh,Kang Ki-young,Park Eun-bin","Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",Drama,TV-14,8.7,Extraordinary Attorney Woo,2022
"Mark Boone Junior,Charlie Hunnam,Katey Sagal",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Crime,Drama,Thriller",TV-MA,8.6,Sons of Anarchy,2008–2014
"Roger Allam,James Bradshaw,Shaun Evans","Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Crime,Drama,Mystery",TV-14,8.6,Endeavour,2012–2023
"Rachael Stirling,Toby Jones,Mackenzie Crook","The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",Comedy,TV-14,8.6,Detectorists,2014–2022
"Phil LaMarr,Kevin Michael Richardson,Mako","A samurai, sent through time, fights to return home and save the world.","Animation,Action,Adventure",TV-MA,8.5,Samurai Jack,2001–2017
"Nathan Dales,Jared Keeso,Michelle Mylett","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Comedy,TV-MA,8.7,Letterkenny,2016– 
"Sean Carroll,Morgan Freeman,Michio Kaku","Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ...",Documentary,TV-PG,8.6,Through the Wormhole,2010–2017
"Colin Mochrie,Ryan Stiles,Drew Carey",Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,"Comedy,Game-Show",TV-PG,8.5,Whose Line Is It Anyway?,1998–2007
"Mackenzie Crook,Martin Freeman,Ricky Gervais",The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,"Comedy,Drama",TV-MA,8.5,The Office,2001–2003
"Anna Lamadrid,Nathan Fielder,Journey Baker",Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,"Documentary,Comedy",TV-MA,8.6,The Rehearsal,2022– 
"Ursula Parker,Hadley Delany,Louis C.K.","The life of Louie C.K., a divorced comedian living in New York with two kids.","Comedy,Drama",TV-MA,8.5,Louie,2010–2015
"Felicity Montagu,Simon Greenall,Steve Coogan","A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",Comedy,TV-MA,8.6,I'm Alan Partridge,1997–2002
"Rami Malek,Carly Chaikin,Christian Slater","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime,Drama,Thriller",TV-MA,8.5,Mr. Robot,2015–2019
"Samantha Ruth Prabhu,Manoj Bajpayee,Priyamani","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Action,Comedy,Drama",TV-14,8.7,The Family Man,2019– 
"Katherine Parkinson,Chris O'Dowd,Richard Ayoade","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",Comedy,TV-14,8.5,The IT Crowd,2006–2013
"Ginpei Sato,Ayako Kawasumi,Kazuya Nakai","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Animation,Action,Adventure",TV-MA,8.6,Samurai Champloo,2004–2005
"Paul Eddington,Derek Fowlds,Nigel Hawthorne",James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,Comedy,TV-PG,8.6,"Yes, Prime Minister",1986–1987
"Ewan McGregor,David Alexanian,Charley Boorman","This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.","Documentary,Adventure",TV-PG,8.6,Long Way Round,2004–2010
"Matt Berry,Kayvan Novak,Natasia Demetriou",A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,"Comedy,Fantasy,Horror",TV-MA,8.6,What We Do in the Shadows,2019– 
"Daniel Ricciardo,Jack Nicholls,Will Buxton",Docuseries following the FIA Formula One World Championship across multiple seasons.,"Documentary,Sport",TV-MA,8.6,Formula 1: Drive to Survive,2019– 
"Andrija Kuzmanovic,Dragan Bjelogrlic,Marija Bergam","A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Crime,Drama,Thriller",TV-MA,8.9,Black Sun,2017– 
"Jessica Hynes,Julia Deakin,Simon Pegg","Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.","Action,Comedy",TV-14,8.6,Spaced,1999–2001
"Sal Vulcano,Brian Quinn,James Murray","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","Comedy,Reality-TV",TV-14,8.6,Impractical Jokers,2011– 
"Jonathan Zaccaï,Florence Loiret Caille,Mathieu Kassovitz",,"Drama,Thriller",TV-MA,8.7,The Bureau,2015– 
"Gina Bellman,Jack Davenport,Sarah Alexander",Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,"Comedy,Romance",TV-14,8.6,Coupling,2000–2004
"Edward James Olmos,Katee Sackhoff,Mary McDonnell","Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Action,Adventure,Drama",TV-14,8.5,Battlestar Galactica,2003
