actor,description,genre,public,score,title,year
"Michael Jace,Walton Goggins,Michael Chiklis",Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,"Crime,Drama,Thriller",TV-MA,8.7,The Shield,2002–2008
"Kaito Ishikawa,Max Mittelman,Makoto Furukawa","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Animation,Action,Comedy",TV-PG,8.7,One Punch Man,2015–2019
"Nancy Cartwright,Dan Castellaneta,Harry Shearer",The satiric adventures of a working-class family in the misfit city of Springfield.,"Animation,Comedy",TV-14,8.7,The Simpsons,1989– 
"Vaibhav Raj Gupta,Jameel Khan,Geetanjali Kulkarni","Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Comedy,Drama,Family",,9.1,Gullak,2019– 
"Olivia Colman,Phoebe Waller-Bridge,Sian Clifford",A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Comedy,Drama",TV-MA,8.7,Fleabag,2016–2019
"Jason Bateman,Michael Cera,Portia de Rossi","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Comedy,TV-14,8.7,Arrested Development,2003–2019
"Antony Starr,Jack Quaid,Karl Urban",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Action,Comedy,Crime",TV-MA,8.7,The Boys,2019– 
"Kana Hanazawa,Asami Imai,Mamoru Miyano","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Animation,Comedy,Drama",TV-14,8.8,Steins;Gate,2011–2015
"Lisa Vicari,Karoline Eichhorn,Louis Hofmann","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.","Crime,Drama,Mystery",TV-MA,8.7,Dark,2017–2020
"Ernie Hudson,Lee Tergesen,J.K. Simmons",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Crime,Drama,Thriller",TV-MA,8.7,Oz,1997–2003
"Brett Goldstein,Hannah Waddingham,Jason Sudeikis","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","Comedy,Drama,Sport",TV-MA,8.8,Ted Lasso,2020– 
"Cillian Murphy,Paul Anderson,Sophie Rundle","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Crime,Drama",TV-MA,8.8,Peaky Blinders,2013–2022
"Mayur More,Jitendra Kumar,Ranjan Raj","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Comedy,Drama",TV-14,9.0,Kota Factory,2019–2021
"Michael C. Hall,Peter Krause,Frances Conroy",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Comedy,Drama",TV-MA,8.7,Six Feet Under,2001–2005
"Polly Walker,Ray Stevenson,Kevin McKidd",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Action,Drama,Romance",TV-MA,8.7,Rome,2005–2007
"Collin Dean,Melanie Lynskey,Elijah Wood",Two brothers find themselves lost in a mysterious land and try to find their way home.,"Animation,Short,Adventure",TV-PG,8.8,Over the Garden Wall,2014
"Isaac Hayes,Trey Parker,Matt Stone","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Animation,Comedy",TV-14,8.7,South Park,1997– 
"Siân Phillips,Derek Jacobi,John Hurt","The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Biography,Drama,History",Not Rated,8.8,"I, Claudius",1976
"Kyle Hebert,Masako Nozawa,Jôji Yanami","The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Animation,Action,Adventure",TV-PG,8.8,Dragon Ball Z,1989–1996
"Tony Beck,Mayumi Tanaka,Laurent Vernin","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Animation,Action,Adventure",TV-14,8.9,One Piece,1999– 
"Rudy Rush,Donnell Rawlings,Dave Chappelle",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Comedy,Music",TV-MA,8.8,Chappelle's Show,2003–2006
"Scott McNeil,Christopher Sabat,Doc Harris","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Animation,Action,Adventure",TV-PG,8.8,Dragon Ball Z,1989–1996
"Wagner Moura,Boyd Holbrook,Pedro Pascal","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography,Crime,Drama",TV-MA,8.8,Narcos,2015–2017
"Michaela Coel,Daniel Lapaine,Hannah John-Kamen","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama,Mystery,Sci-Fi",TV-MA,8.8,Black Mirror,2011–2019
"Alison Brie,Will Arnett,Amy Sedaris","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Animation,Comedy,Drama",TV-MA,8.8,BoJack Horseman,2014–2020
"Kyle MacLachlan,Mädchen Amick,Michael Ontkean",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Crime,Drama,Mystery",TV-MA,8.8,Twin Peaks,1990–1991
"Tony Robinson,Stephen Fry,Rowan Atkinson","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Comedy,War",TV-PG,8.8,Blackadder Goes Forth,1989
"John Francis Daley,Linda Cardellini,James Franco",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Comedy,Drama",TV-14,8.8,Freaks and Geeks,1999–2000
"Colin Firth,Jennifer Ehle,Susannah Harker","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Drama,Romance",TV-PG,8.8,Pride and Prejudice,1995
"Kieran Culkin,Nicholas Braun,Brian Cox","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Comedy,Drama",TV-MA,8.8,Succession,2018–2023
"Prunella Scales,Andrew Sachs,John Cleese","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",Comedy,TV-PG,8.8,Fawlty Towers,1975–1979
"Ali Atay,Ahmet Mümtaz Taylan,Cengiz Bozkurt","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","Adventure,Comedy,Drama",TV-PG,9.1,Leyla and Mecnun,2011–2023
"Cheryl Hines,Larry David,Jeff Garlin",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Comedy,TV-MA,8.8,Curb Your Enthusiasm,2000– 
"Rob Lowe,Martin Sheen,Allison Janney",Inside the lives of staffers in the West Wing of the White House.,Drama,TV-14,8.9,The West Wing,1999–2006
"Kivanç Kilinç,Feyyaz Yigit,Ahmet Kürsat Öçalan",Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,Comedy,,9.0,As If,2021– 
"Klaus Wennemann,Jürgen Prochnow,Herbert Grönemeyer",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Drama,War",TV-MA,8.8,Das Boot,1985
"Anna Torv,Bella Ramsey,Pedro Pascal","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Action,Adventure,Drama",TV-MA,8.9,The Last of Us,2023– 
"Kerry Godliman,Alex Horne,Greg Davies","Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.","Comedy,Game-Show",TV-14,9.0,Taskmaster,2015– 
"Graham Chapman,Terry Gilliam,John Cleese",The original surreal sketch comedy showcase for the Monty Python troupe.,Comedy,TV-14,8.8,Monty Python's Flying Circus,1969–1974
"Rob McElhenney,Charlie Day,Kaitlin Olson",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Comedy,TV-MA,8.8,It's Always Sunny in Philadelphia,2005– 
"Abhay Mahajan,Arunabh Kumar,Naveen Kasturia",A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,"Comedy,Drama",TV-MA,9.1,TVF Pitchers,2015–2022
"Mark Deeble,David Attenborough,Simon Blakeney","Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",Documentary,TV-PG,8.9,Africa,2013
"Martin Sheen,Mathieu Kassovitz,Rudolf Hess","This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.","Documentary,History,War",TV-MA,9.0,Apocalypse: The Second World War,2009
"Courteney Cox,Jennifer Aniston,Lisa Kudrow",Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"Comedy,Romance",TV-14,8.9,Friends,1994–2004
"Ryan Barger,David Kaye,John Oliver",Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,"Comedy,News,Talk-Show",TV-MA,8.9,Last Week Tonight with John Oliver,2014– 
"Ethan Herisse,Asante Blackk,Caleel Harris",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,"Biography,Crime,Drama",TV-MA,8.9,When They See Us,2019
"Kristen Schaal,Jason Ritter,Alex Hirsch","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Animation,Adventure,Comedy",TV-Y7,8.9,Gravity Falls,2012–2016
"Salomon Flores,Nathan Fielder,Anthony Filosa","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Documentary,Comedy",TV-14,8.9,Nathan for You,2013–2017
"Unshô Ishizuka,Kôichi Yamadera,Megumi Hayashibara",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,"Animation,Action,Adventure",TV-14,8.9,Cowboy Bebop,1998–1999
"Martin Freeman,Allison Tolman,Billy Bob Thornton","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime,Drama,Thriller",TV-MA,8.9,Fargo,2014–2023
,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',"Documentary,Biography,Music",PG-13,9.0,The Beatles: Get Back,2021
"Cansu Dere,Haluk Bilginer,Metin Akdülger",A man diagnosed with Alzheimer's decides to punish criminals.,"Crime,Drama,Mystery",TV-MA,9.0,Persona,2018
"Olaf Lubaszenko,Artur Barcis,Olgierd Lukaszewicz","Ten television drama films, each one based on one of the Ten Commandments.",Drama,TV-MA,9.0,Dekalog,1989–1990
"Julia Louis-Dreyfus,Jerry Seinfeld,Michael Richards",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Comedy,TV-PG,8.9,Seinfeld,1989–1998
"Rachel McAdams,Colin Farrell,Vince Vaughn","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime,Drama,Mystery",TV-MA,8.9,True Detective,2014– 
"Cristina Valenzuela,Megumi Han,Issei Futamata","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Animation,Action,Adventure",TV-14,9.0,Hunter x Hunter,2011–2014
"David McCullough,Julie Harris,Sam Waterston",A comprehensive survey of the American Civil War.,"Documentary,History,War",TV-14,9.1,The Civil War,1990
"Nicholas Lyndhurst,Roger Lloyd Pack,David Jason",Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Comedy,TV-PG,9.0,Only Fools and Horses,1981–2003
"Kaleb Cooper,Charlie Ireland,Jeremy Clarkson",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Documentary,Comedy,Reality-TV",TV-PG,9.0,Clarkson's Farm,2021– 
"Brad Swaile,Vincent Tong,Mamoru Miyano",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Animation,Crime,Drama",TV-14,9.0,Death Note,2006–2007
"Jonathan Banks,Bob Odenkirk,Rhea Seehorn",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,"Crime,Drama",TV-MA,8.9,Better Call Saul,2015–2022
"Alec Baldwin,David Attenborough,Chadden Hunter",Focuses on life and the environment in both the Arctic and Antarctic.,Documentary,TV-PG,9.0,Frozen Planet,2011–2012
"Nathan Fillion,Gina Torres,Alan Tudyk","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Adventure,Drama,Sci-Fi",TV-14,9.0,Firefly,2002–2003
"Roger Munns,John Hurt",A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,Documentary,TV-PG,9.0,Human Planet,2011
"Jenna Fischer,Steve Carell,John Krasinski","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Comedy,TV-14,9.0,The Office,2005–2013
"Peter Scoones,David Attenborough,Pierce Brosnan","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",Documentary,TV-G,9.0,The Blue Planet,2001
"Kevin Alejandro,Jason Spisak,Hailee Steinfeld","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.","Animation,Action,Adventure",TV-14,9.0,Arcane,2021– 
"Josh Grelle,Yûki Kaji,Bryce Papenbrook","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Animation,Action,Adventure",TV-MA,9.0,Attack on Titan,2013–2023
"Shreya Dhanwanthary,Pratik Gandhi,Hemant Kher","Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","Biography,Crime,Drama",TV-14,9.3,Scam 1992: The Harshad Mehta Story,2020
"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Animation,Action,Adventure",TV-PG,9.0,Batman: The Animated Series,1992–1995
"James Willbanks,Huy Duc,Peter Coyote",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Documentary,History,War",TV-MA,9.1,The Vietnam War,2017
"Rico Romaniuk,David McCormack,Melanie Zanetti",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,"Animation,Family",TV-Y,9.5,Bluey,2018– 
"Una Stubbs,Martin Freeman,Benedict Cumberbatch",A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"Crime,Drama,Mystery",TV-14,9.1,Sherlock,2010–2017
"Jay Overholts,Rod Serling,Robert McCord","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Drama,Fantasy,Horror",TV-PG,9.1,The Twilight Zone,1959–1964
"Doug Allan,David Attenborough,Oprah Winfrey",David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,Documentary,TV-G,9.1,Life,2009
"Michael Jordan,Phil Jackson,Scottie Pippen","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Documentary,Biography,History",TV-MA,9.1,The Last Dance,2020
"Matthew Leonhart,Iemasa Kayumi,Kent Williams",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Animation,Action,Adventure",TV-14,9.1,Fullmetal Alchemist: Brotherhood,2009–2010
"Justin Roiland,Spencer Grammer,Chris Parnell",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Animation,Adventure,Comedy",TV-14,9.1,Rick and Morty,2013– 
"Laurence Olivier,Averell Harriman,Albert Speer","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Documentary,History,War",TV-PG,9.2,The World at War,1973–1974
"Kit Harington,Peter Dinklage,Emilia Clarke","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Action,Adventure,Drama",TV-MA,9.2,Game of Thrones,2011–2019
,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",Documentary,TV-G,9.3,Our Planet,2019
"Jonathan Fahn,Jaromír Hanzlík,Carl Sagan",Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Documentary,TV-PG,9.3,Cosmos,1980
"Christopher Emerson,Neil deGrasse Tyson,Keythe Farley",An exploration of our discovery of the laws of nature and coordinates in space and time.,Documentary,TV-PG,9.3,Cosmos: A Spacetime Odyssey,2014
"Lorraine Bracco,Edie Falco,James Gandolfini","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Crime,Drama",TV-MA,9.2,The Sopranos,1999–2007
"David Attenborough,Roger Munns,Peter Drost","David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",Documentary,TV-G,9.3,Blue Planet II,2017
"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Animation,Action,Adventure",TV-Y7-FV,9.3,Avatar: The Last Airbender,2005–2008
"Lance Reddick,Dominic West,Sonja Sohn","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Crime,Drama,Thriller",TV-MA,9.3,The Wire,2002–2008
"Jessie Buckley,Stellan Skarsgård,Jared Harris","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Drama,History,Thriller",TV-MA,9.4,Chernobyl,2019
